timestamp,heart_rate,confidence
2024-01-15 06:00:00,87.1,0.959799
2024-01-15 06:01:00,80.4,0.873399
2024-01-15 06:02:00,95.2,0.853088
2024-01-15 06:03:00,80.5,0.877511
2024-01-15 06:04:00,80.5,0.914792
2024-01-15 06:05:00,84.5,0.870924
2024-01-15 06:06:00,76.2,0.91841
2024-01-15 06:07:00,83.6,0.927135
2024-01-15 06:08:00,82.6,0.941132
2024-01-15 06:09:00,84.8,0.864651
2024-01-15 06:10:00,87.5,0.868306
2024-01-15 06:11:00,82.3,0.986398
2024-01-15 06:12:00,85.5,0.896757
2024-01-15 06:13:00,102.5,0.877728
2024-01-15 06:14:00,89.2,0.863274
2024-01-15 06:15:00,75.2,0.890702
2024-01-15 06:16:00,85.9,0.89214
2024-01-15 06:17:00,79.8,0.97033
2024-01-15 06:18:00,83.5,0.850828
2024-01-15 06:19:00,90.6,0.959351
2024-01-15 06:20:00,79.9,0.979466
2024-01-15 06:21:00,80.8,0.859534
2024-01-15 06:22:00,75.9,0.959441
2024-01-15 06:23:00,90.1,0.920832
2024-01-15 06:24:00,84.9,0.964118
2024-01-15 06:25:00,93.5,0.924069
2024-01-15 06:26:00,74.4,0.853813
2024-01-15 06:27:00,81.0,0.926286
2024-01-15 06:28:00,85.0,0.911557
2024-01-15 06:29:00,83.3,0.861547
2024-01-15 06:30:00,79.5,0.989455
2024-01-15 06:31:00,91.0,0.980719
2024-01-15 06:32:00,83.9,0.983884
2024-01-15 06:33:00,92.4,0.984414
2024-01-15 06:34:00,80.5,0.88419
2024-01-15 06:35:00,90.5,0.97911
2024-01-15 06:36:00,84.3,0.912612
2024-01-15 06:37:00,82.2,0.900642
2024-01-15 06:38:00,85.4,0.927819
2024-01-15 06:39:00,84.5,0.995767
2024-01-15 06:40:00,75.3,0.892726
2024-01-15 06:41:00,84.2,0.925402
2024-01-15 06:42:00,84.9,0.871734
2024-01-15 06:43:00,86.7,0.886308
2024-01-15 06:44:00,93.0,0.885646
2024-01-15 06:45:00,85.1,0.944846
2024-01-15 06:46:00,94.5,0.863543
2024-01-15 06:47:00,85.3,0.877978
2024-01-15 06:48:00,84.0,0.951635
2024-01-15 06:49:00,83.9,0.883974
2024-01-15 06:50:00,81.1,0.953641
2024-01-15 06:51:00,87.6,0.870628
2024-01-15 06:52:00,80.1,0.988704
2024-01-15 06:53:00,84.9,0.948998
2024-01-15 06:54:00,90.1,0.929448
2024-01-15 06:55:00,82.8,0.984582
2024-01-15 06:56:00,88.6,0.900854
2024-01-15 06:57:00,88.9,0.984567
2024-01-15 06:58:00,87.3,0.946305
2024-01-15 06:59:00,88.7,0.85138
2024-01-15 07:00:00,84.3,0.850759
2024-01-15 07:01:00,82.2,0.953784
2024-01-15 07:02:00,81.0,0.956827
2024-01-15 07:03:00,77.9,0.961974
2024-01-15 07:04:00,91.1,0.948642
2024-01-15 07:05:00,81.1,0.905157
2024-01-15 07:06:00,78.1,0.995952
2024-01-15 07:07:00,88.7,0.944671
2024-01-15 07:08:00,89.4,0.936536
2024-01-15 07:09:00,77.9,0.958368
2024-01-15 07:10:00,81.1,0.991069
2024-01-15 07:11:00,86.6,0.994998
2024-01-15 07:12:00,76.2,0.977671
2024-01-15 07:13:00,78.8,0.93352
