timestamp,heart_rate_bpm
2025-09-12 10:00:00,73
2025-09-12 10:01:00,73
2025-09-12 10:02:00,78
2025-09-12 10:03:00,72
2025-09-12 10:04:00,81
2025-09-12 10:05:00,80
2025-09-12 10:06:00,79
2025-09-12 10:07:00,77
2025-09-12 10:08:00,88
2025-09-12 10:09:00,68
2025-09-12 10:10:00,79
2025-09-12 10:11:00,87
2025-09-12 10:12:00,78
2025-09-12 10:13:00,77
2025-09-12 10:14:00,80
2025-09-12 10:15:00,80
2025-09-12 10:16:00,88
2025-09-12 10:17:00,84
2025-09-12 10:18:00,83
2025-09-12 10:19:00,81
2025-09-12 10:20:00,74
2025-09-12 10:21:00,85
2025-09-12 10:22:00,86
2025-09-12 10:23:00,81
2025-09-12 10:24:00,73
2025-09-12 10:25:00,87
2025-09-12 10:26:00,77
2025-09-12 10:27:00,85
2025-09-12 10:28:00,78
2025-09-12 10:29:00,82
2025-09-12 10:30:00,90
2025-09-12 10:31:00,88
2025-09-12 10:32:00,84
2025-09-12 10:33:00,81
2025-09-12 10:34:00,79
2025-09-12 10:35:00,88
2025-09-12 10:36:00,77
2025-09-12 10:37:00,83
2025-09-12 10:38:00,90
2025-09-12 10:39:00,84
2025-09-12 10:40:00,82
2025-09-12 10:41:00,86
2025-09-12 10:42:00,86
2025-09-12 10:43:00,83
2025-09-12 10:44:00,78
2025-09-12 10:45:00,85
2025-09-12 10:46:00,85
2025-09-12 10:47:00,91
2025-09-12 10:48:00,88
2025-09-12 10:49:00,93
2025-09-12 10:50:00,85
2025-09-12 10:51:00,83
2025-09-12 10:52:00,87
2025-09-12 10:53:00,83
2025-09-12 10:54:00,83
2025-09-12 10:55:00,89
2025-09-12 10:56:00,89
2025-09-12 10:57:00,89
2025-09-12 10:58:00,88
2025-09-12 10:59:00,83
2025-09-12 11:00:00,89
2025-09-12 11:01:00,71
2025-09-12 11:02:00,74
2025-09-12 11:03:00,83
2025-09-12 11:04:00,88
2025-09-12 11:05:00,85
2025-09-12 11:06:00,90
2025-09-12 11:07:00,81
2025-09-12 11:08:00,79
2025-09-12 11:09:00,84
2025-09-12 11:10:00,80
2025-09-12 11:11:00,90
2025-09-12 11:12:00,85
2025-09-12 11:13:00,83
2025-09-12 11:14:00,88
2025-09-12 11:15:00,91
2025-09-12 11:16:00,79
2025-09-12 11:17:00,73
2025-09-12 11:18:00,79
2025-09-12 11:19:00,81
2025-09-12 11:20:00,65
2025-09-12 11:21:00,77
2025-09-12 11:22:00,81
2025-09-12 11:23:00,78
2025-09-12 11:24:00,77
2025-09-12 11:25:00,85
2025-09-12 11:26:00,78
2025-09-12 11:27:00,65
2025-09-12 11:28:00,80
2025-09-12 11:29:00,73
2025-09-12 11:30:00,78
2025-09-12 11:31:00,71
2025-09-12 11:32:00,84
2025-09-12 11:33:00,81
2025-09-12 11:34:00,74
2025-09-12 11:35:00,74
2025-09-12 11:36:00,74
2025-09-12 11:37:00,72
2025-09-12 11:38:00,76
2025-09-12 11:39:00,66
2025-09-12 11:40:00,76
2025-09-12 11:41:00,73
2025-09-12 11:42:00,67
2025-09-12 11:43:00,74
2025-09-12 11:44:00,71
2025-09-12 11:45:00,68
2025-09-12 11:46:00,63
2025-09-12 11:47:00,72
2025-09-12 11:48:00,67
2025-09-12 11:49:00,76
2025-09-12 11:50:00,65
2025-09-12 11:51:00,65
2025-09-12 11:52:00,73
2025-09-12 11:53:00,78
2025-09-12 11:54:00,62
2025-09-12 11:55:00,77
2025-09-12 11:56:00,74
2025-09-12 11:57:00,76
2025-09-12 11:58:00,61
2025-09-12 11:59:00,73
