timestamp,heart_rate_bpm
2025-09-15 10:00:00,85
2025-09-15 10:01:00,74
2025-09-15 10:02:00,83
2025-09-15 10:03:00,71
2025-09-15 10:04:00,85
2025-09-15 10:05:00,76
2025-09-15 10:06:00,75
2025-09-15 10:07:00,79
2025-09-15 10:08:00,78
2025-09-15 10:09:00,83
2025-09-15 10:10:00,83
2025-09-15 10:11:00,78
2025-09-15 10:12:00,74
2025-09-15 10:13:00,79
2025-09-15 10:14:00,76
2025-09-15 10:15:00,80
2025-09-15 10:16:00,77
2025-09-15 10:17:00,83
2025-09-15 10:18:00,76
2025-09-15 10:19:00,74
2025-09-15 10:20:00,78
2025-09-15 10:21:00,81
2025-09-15 10:22:00,83
2025-09-15 10:23:00,82
2025-09-15 10:24:00,76
2025-09-15 10:25:00,82
2025-09-15 10:26:00,91
2025-09-15 10:27:00,80
2025-09-15 10:28:00,80
2025-09-15 10:29:00,77
2025-09-15 10:30:00,83
2025-09-15 10:31:00,87
2025-09-15 10:32:00,85
2025-09-15 10:33:00,81
2025-09-15 10:34:00,80
2025-09-15 10:35:00,79
2025-09-15 10:36:00,84
2025-09-15 10:37:00,87
2025-09-15 10:38:00,85
2025-09-15 10:39:00,87
2025-09-15 10:40:00,89
2025-09-15 10:41:00,82
2025-09-15 10:42:00,76
2025-09-15 10:43:00,87
2025-09-15 10:44:00,77
2025-09-15 10:45:00,88
2025-09-15 10:46:00,82
2025-09-15 10:47:00,82
2025-09-15 10:48:00,83
2025-09-15 10:49:00,88
2025-09-15 10:50:00,95
2025-09-15 10:51:00,85
2025-09-15 10:52:00,88
2025-09-15 10:53:00,86
2025-09-15 10:54:00,85
2025-09-15 10:55:00,85
2025-09-15 10:56:00,79
2025-09-15 10:57:00,79
2025-09-15 10:58:00,82
2025-09-15 10:59:00,78
2025-09-15 11:00:00,82
2025-09-15 11:01:00,79
2025-09-15 11:02:00,80
2025-09-15 11:03:00,81
2025-09-15 11:04:00,92
2025-09-15 11:05:00,85
2025-09-15 11:06:00,92
2025-09-15 11:07:00,84
2025-09-15 11:08:00,84
2025-09-15 11:09:00,85
2025-09-15 11:10:00,80
2025-09-15 11:11:00,74
2025-09-15 11:12:00,83
2025-09-15 11:13:00,79
2025-09-15 11:14:00,85
2025-09-15 11:15:00,86
2025-09-15 11:16:00,95
2025-09-15 11:17:00,78
2025-09-15 11:18:00,81
2025-09-15 11:19:00,88
2025-09-15 11:20:00,82
2025-09-15 11:21:00,73
2025-09-15 11:22:00,84
2025-09-15 11:23:00,84
2025-09-15 11:24:00,82
2025-09-15 11:25:00,81
2025-09-15 11:26:00,73
2025-09-15 11:27:00,72
2025-09-15 11:28:00,74
2025-09-15 11:29:00,86
2025-09-15 11:30:00,78
2025-09-15 11:31:00,75
2025-09-15 11:32:00,75
2025-09-15 11:33:00,77
2025-09-15 11:34:00,76
2025-09-15 11:35:00,74
2025-09-15 11:36:00,82
2025-09-15 11:37:00,72
2025-09-15 11:38:00,80
2025-09-15 11:39:00,78
2025-09-15 11:40:00,73
2025-09-15 11:41:00,67
2025-09-15 11:42:00,63
2025-09-15 11:43:00,68
2025-09-15 11:44:00,72
2025-09-15 11:45:00,74
2025-09-15 11:46:00,70
2025-09-15 11:47:00,69
2025-09-15 11:48:00,62
2025-09-15 11:49:00,62
2025-09-15 11:50:00,72
2025-09-15 11:51:00,68
2025-09-15 11:52:00,69
2025-09-15 11:53:00,64
2025-09-15 11:54:00,70
2025-09-15 11:55:00,76
2025-09-15 11:56:00,68
2025-09-15 11:57:00,70
2025-09-15 11:58:00,67
2025-09-15 11:59:00,60
