ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-08-01,73.08580400000001,66.83187613361727,80.33004046354843,73.08580400000001,73.08580400000001,0.4055654050142111,0.4055654050142111,0.4055654050142111,0.4055654050142111,0.4055654050142111,0.4055654050142111,0.0,0.0,0.0,73.49136940501423
2025-08-02,73.03066377796611,67.36250338524135,80.68530842973814,73.03066377796611,73.03066377796611,0.8261040047436754,0.8261040047436754,0.8261040047436754,0.8261040047436754,0.8261040047436754,0.8261040047436754,0.0,0.0,0.0,73.85676778270978
2025-08-03,72.97552355593221,66.15049957060184,78.85174705199704,72.97552355593221,72.97552355593221,-0.46503175929276264,-0.46503175929276264,-0.46503175929276264,-0.46503175929276264,-0.46503175929276264,-0.46503175929276264,0.0,0.0,0.0,72.51049179663946
2025-08-04,72.92038333602865,68.43305500052236,81.15441143284093,72.92038333602865,72.92038333602865,1.6891504662796994,1.6891504662796994,1.6891504662796994,1.6891504662796994,1.6891504662796994,1.6891504662796994,0.0,0.0,0.0,74.60953380230835
2025-08-05,72.86524311612511,64.76907327884952,77.67456444714117,72.86524311612511,72.86524311612511,-1.5503211520353901,-1.5503211520353901,-1.5503211520353901,-1.5503211520353901,-1.5503211520353901,-1.5503211520353901,0.0,0.0,0.0,71.31492196408972
2025-08-06,72.81010289211545,64.3158964469654,77.13337406930609,72.81010289211545,72.81010289211545,-2.281507102711292,-2.281507102711292,-2.281507102711292,-2.281507102711292,-2.281507102711292,-2.281507102711292,0.0,0.0,0.0,70.52859578940416
2025-08-07,72.75496266810579,67.4983821028048,80.83859025721723,72.75496266810579,72.75496266810579,1.376040137999561,1.376040137999561,1.376040137999561,1.376040137999561,1.376040137999561,1.376040137999561,0.0,0.0,0.0,74.13100280610536
2025-08-08,72.69982245322012,66.33436343769885,79.53557529828242,72.69982245322012,72.69982245322012,0.4055654050177274,0.4055654050177274,0.4055654050177274,0.4055654050177274,0.4055654050177274,0.4055654050177274,0.0,0.0,0.0,73.10538785823785
2025-08-09,72.64468223833445,66.53453383312319,79.84674525505417,72.64468223833445,72.64468223833445,0.8261040047430344,0.8261040047430344,0.8261040047430344,0.8261040047430344,0.8261040047430344,0.8261040047430344,0.0,0.0,0.0,73.47078624307748
2025-08-10,72.58954203071036,65.51243224702563,78.68038398396128,72.58954203071036,72.58954203071036,-0.4650317592873353,-0.4650317592873353,-0.4650317592873353,-0.4650317592873353,-0.4650317592873353,-0.4650317592873353,0.0,0.0,0.0,72.12451027142302
